Bin index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,Average bin PA,max RBS,Average RBS,Total fold,CAI,AAA codon count,GCA codon count,TTT codon count,FE window 1,FE window 2,FE window 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,3400,12468,4651,9468,2171,2906,9029,5091,828,11819,543,4888,10481,10144,9171,6572,1024,4648,10020,12750,5282,9446,8634,2321,6206,1959,0.040847096,-3.161538462,-0.571474359,-19.37692308,0.547624886,0.423076923,0.230769231,0.461538462,-7.776923077,-7.342307692,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,9372,2295,6495,5818,2486,6372,3818,5795,4699,1960,10310,9060,10963,7274,8353,8128,2095,4353,9711,1179,8726,5047,8942,9900,7265,5571,0.057923881,-2.507692308,-0.396955128,-18.25,0.572005907,0.576923077,0.538461538,0.576923077,-8.019230769,-7.319230769,-6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,5462,6682,9654,11765,11694,12633,1542,5045,8757,5990,9935,12615,6759,11734,9884,1423,3454,8815,8840,10179,4256,11895,11867,10436,5444,7197,0.050403712,-2.338461538,-0.374679487,-18.57692308,0.540644037,0.423076923,0.192307692,0.423076923,-7.226923077,-7.115384615,-6.811538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,773,10779,2770,3656,2115,5057,2826,11056,1215,4488,4143,8593,4985,2503,4584,7152,9364,5901,3803,3405,5538,3418,9548,2010,12643,2577,0.049167369,-2.488461538,-0.354967949,-18.87307692,0.509596519,0.423076923,0.5,1,-7.984615385,-7.526923077,-6.965384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,0.043886352,-2.769230769,-0.483814103,-18.00769231,0.576647572,0.615384615,0.346153846,0.423076923,-6.026923077,-5.338461538,-5.338461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2849,2879,2888,2904,2921,2923,2938,2958,2986,2995,3051,3097,3098,3216,3251,3259,3305,3307,3354,3373,3404,3431,3436,3469,3499,3507,0.031342706,-2.484615385,-0.375801282,-19.71923077,0.516071743,0.115384615,0.192307692,0.653846154,-8.1,-7.915384615,-7.184615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,6510,6552,6568,6621,6625,6626,6646,6714,6761,6769,6772,6802,6846,6864,6865,6867,6896,6903,6963,6988,6991,7020,7136,7143,7210,7235,0.098884186,-3.1,-0.46474359,-18.21923077,0.512282397,0.307692308,0.346153846,0.5,-7.280769231,-7.226923077,-7.219230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,6371,2976,9120,8219,4208,8710,12338,682,3728,6275,4871,7793,5946,10918,6302,11832,2852,5302,12321,7415,11087,8180,8423,7881,7781,8879,0.068822924,-2.7,-0.412339744,-17.85384615,0.565313196,0.423076923,0.346153846,0.5,-7.75,-7.238461538,-7.057692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,7424,11479,4053,11693,10008,2135,8020,7458,4021,3814,6489,10868,8911,8109,4482,7916,8275,7755,1376,5317,6839,9667,7216,6215,11961,7731,0.046854108,-2.826923077,-0.455608974,-19.74615385,0.514691036,0.307692308,0.307692308,0.5,-7.884615385,-7.242307692,-7.134615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,8102,6690,5944,10546,6366,5977,7256,12076,8290,4579,10671,10464,10299,3530,10665,3567,12326,10699,7231,6179,11224,12803,10713,9117,7625,5338,0.046437943,-3.015384615,-0.519871795,-17.96923077,0.550208598,0.461538462,0.153846154,0.461538462,-7.292307692,-7.030769231,-6.873076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,323,324,325,326,327,328,0.043886352,-2.638461538,-0.448397436,-19.16153846,0.562097052,0.692307692,0.346153846,0.230769231,-7.242307692,-7.265384615,-7.523076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,11159,5339,12531,5742,6771,8141,936,11862,3101,9126,7994,1239,3202,6131,3134,1256,9722,12699,10981,775,9058,9093,3162,889,5857,5061,0.093276122,-2.842307692,-0.479807692,-18.07692308,0.603798869,0.653846154,0.307692308,0.538461538,-7.688461538,-7.376923077,-6.969230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,6425,12595,7807,6990,11896,9806,1485,5406,10562,11344,8437,6967,1508,4979,6090,10985,6213,7172,8880,6260,6804,4007,2312,10013,12157,10460,0.056447001,-2.469230769,-0.424519231,-18.86538462,0.521659443,0.576923077,0.5,0.192307692,-7.523076923,-7.330769231,-7.173076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,6816,6838,6873,6911,6913,6925,6937,6959,7016,7038,7072,7104,7112,7154,7167,7178,7230,7288,7326,7351,7372,7471,7485,7523,7555,7688,0.043886352,-3.373076923,-0.632051282,-19.03076923,0.535899965,0.269230769,0.615384615,0.730769231,-7.530769231,-7.488461538,-7.673076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
