Bin index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,variant index,max RBS,Average RBS,Total fold,CAI,AAA codon count,GCA codon count,TTT codon count,FE window 1,FE window 2,FE window 3,,,,,,,,,,,,,,,,
487,12767,4875,3099,3045,3069,2363,11473,1664,9294,8177,8023,9997,9079,12798,7381,3124,3083,3072,2860,3086,10217,5092,10673,4858,9914,578,-2.557692308,-0.419230769,-18.18076923,0.599691664,0.307692308,0.307692308,0.730769231,-7.865384615,-7.434615385,-6.903846154,,,,,,,,,,,,,,,,
80,4832,8389,5582,642,1876,5232,7098,8781,614,7898,752,9726,8541,3938,4955,10567,7177,4784,5074,225,8162,9874,2545,8191,6582,12601,-3.280769231,-0.578365385,-19.78461538,0.547747293,0.153846154,0.269230769,0.538461538,-7.965384615,-7.238461538,-6.953846154,,,,,,,,,,,,,,,,
360,9557,4299,10253,4354,2779,8178,12273,6712,5250,3517,1848,2638,8937,12368,9338,4370,5051,7032,12516,4562,9118,5646,2854,9010,817,4747,-2.784615385,-0.444070513,-18.71923077,0.506767673,0.230769231,0.384615385,0.576923077,-7.530769231,-7.257692308,-7.134615385,,,,,,,,,,,,,,,,
134,1324,4306,5233,1012,3550,5927,4362,4828,4891,5570,11834,10924,8727,8298,2433,7135,8277,1367,10536,1,2,3,4,5,6,7,-2.630769231,-0.440865385,-18.21538462,0.546795041,0.307692308,0.5,0.423076923,-6.911538462,-6.676923077,-6.407692308,,,,,,,,,,,,,,,,
68,8453,8486,8550,8640,8809,8856,9109,9135,9194,9196,9198,9215,9320,9492,9566,9586,9662,9696,9738,9791,9841,9851,10028,10046,10126,10151,-2.338461538,-0.33525641,-19.09615385,0.524679363,0.269230769,0.076923077,0.307692308,-7.330769231,-7.05,-6.846153846,,,,,,,,,,,,,,,,
328,1063,4000,12690,1813,2579,6649,12508,7258,1040,5120,10710,2294,8300,4026,8686,6315,1933,2589,8252,10926,680,7877,735,2773,7746,1233,-2.607692308,-0.455929487,-18.51153846,0.566664696,0.192307692,0.384615385,0.730769231,-8.515384615,-7.523076923,-7.05,,,,,,,,,,,,,,,,
29,2609,2616,2775,2971,2973,3184,3254,3271,3273,3337,3349,3357,3378,3414,3440,3441,3449,3466,3473,3490,3491,3492,3521,3624,3642,3750,-3,-0.555769231,-17.85,0.533027646,0.538461538,0.153846154,0.653846154,-7.8,-7.661538462,-6.930769231,,,,,,,,,,,,,,,,
370,8717,9873,7133,5316,9046,12454,2039,6403,1275,1443,12043,7366,9212,6661,8418,9675,4309,10781,12794,2845,4126,7243,8916,4455,5461,11119,-3.015384615,-0.520512821,-19.22307692,0.568893458,0.115384615,0.346153846,0.461538462,-7.4,-7.246153846,-7.123076923,,,,,,,,,,,,,,,,
267,10317,7324,8425,3986,9694,10186,2051,5664,4510,3224,8650,3999,5411,3244,1830,4301,9248,5943,12186,3608,4466,3055,1303,441,12880,3823,-2.280769231,-0.321794872,-18.59615385,0.545234258,0.423076923,0.192307692,0.730769231,-7.642307692,-7.319230769,-6.880769231,,,,,,,,,,,,,,,,
288,1143,12485,7930,3416,7763,10833,5584,10041,6463,9745,3468,8665,11798,6346,12197,12634,8823,11239,4343,1868,11259,5131,6643,10878,2536,10540,-2.469230769,-0.386858974,-18.53846154,0.546723638,0.423076923,0.307692308,0.692307692,-7.688461538,-7.226923077,-6.838461538,,,,,,,,,,,,,,,,
